  epoch    kl       lr    tr_loss    tr_acc    te_loss    te_acc    sp_0    sp_1    sp_2    time
-------  ----  -------  ---------  --------  ---------  --------  ------  ------  ------  ------
      1  0.04  1.0e-03    2.5e+02      90.9    1.3e+02      96.0   0.357   0.123   0.032   14.88
      2  0.06  9.5e-04    1.3e+02      96.5    1.1e+02      97.1   0.457   0.191   0.040   14.72
      3  0.08  9.0e-04    1.1e+02      97.4    1.0e+02      97.4   0.559   0.278   0.046   14.07
      4  0.10  8.6e-04    9.5e+01      97.9    9.1e+01      97.6   0.623   0.344   0.052   14.20
      5  0.12  8.1e-04    8.7e+01      98.1    8.6e+01      98.0   0.649   0.406   0.058   15.01
      6  0.14  7.7e-04    8.2e+01      98.2    8.3e+01      98.1   0.727   0.461   0.063   15.99
      7  0.16  7.4e-04    7.9e+01      98.4    8.1e+01      98.0   0.764   0.503   0.081   16.84
      8  0.18  7.0e-04    7.4e+01      98.5    7.7e+01      98.3   0.789   0.537   0.083   16.04
      9  0.20  6.6e-04    7.3e+01      98.6    8.0e+01      98.0   0.826   0.591   0.113   15.92
     10  0.22  6.3e-04    7.3e+01      98.6    8.0e+01      98.2   0.831   0.590   0.113   17.05
     11  0.24  6.0e-04    7.1e+01      98.7    7.8e+01      98.1   0.852   0.613   0.124   15.46
     12  0.26  5.7e-04    7.1e+01      98.6    7.9e+01      98.3   0.860   0.649   0.134   14.91
     13  0.28  5.4e-04    7.0e+01      98.8    7.9e+01      98.4   0.874   0.674   0.134   14.85
     14  0.30  5.1e-04    7.1e+01      98.7    7.9e+01      98.3   0.879   0.689   0.163   14.90
     15  0.32  4.9e-04    7.0e+01      98.8    7.8e+01      98.4   0.894   0.719   0.172   14.96
     16  0.34  4.6e-04    7.1e+01      98.7    7.7e+01      98.3   0.898   0.731   0.176   15.40
     17  0.36  4.4e-04    7.1e+01      98.7    7.9e+01      98.2   0.904   0.754   0.217   15.05
     18  0.38  4.2e-04    7.0e+01      98.8    7.8e+01      98.4   0.913   0.772   0.223   15.24
     19  0.40  4.0e-04    7.2e+01      98.7    7.8e+01      98.3   0.915   0.788   0.223   15.15
     20  0.42  3.8e-04    7.1e+01      98.8    8.1e+01      98.3   0.918   0.778   0.231   14.95
     21  0.44  3.6e-04    7.2e+01      98.8    7.9e+01      98.4   0.921   0.797   0.242   15.47
     22  0.46  3.4e-04    7.3e+01      98.8    8.0e+01      98.3   0.927   0.815   0.277   15.54
     23  0.48  3.2e-04    7.3e+01      98.8    8.2e+01      98.3   0.928   0.816   0.259   15.23
     24  0.50  3.1e-04    7.3e+01      98.8    8.3e+01      98.4   0.931   0.825   0.267   15.13
     25  0.52  2.9e-04    7.4e+01      98.7    8.1e+01      98.5   0.935   0.842   0.300   15.44
     26  0.54  2.8e-04    7.4e+01      98.8    8.2e+01      98.4   0.939   0.849   0.306   16.56
     27  0.56  2.6e-04    7.5e+01      98.8    8.3e+01      98.3   0.939   0.856   0.317   17.95
     28  0.58  2.5e-04    7.7e+01      98.7    8.4e+01      98.3   0.941   0.861   0.327   18.48
     29  0.60  2.4e-04    7.6e+01      98.7    8.5e+01      98.3   0.944   0.867   0.314   18.77
     30  0.62  2.3e-04    7.7e+01      98.8    8.5e+01      98.3   0.946   0.878   0.332   18.21
     31  0.64  2.1e-04    7.8e+01      98.7    8.6e+01      98.4   0.947   0.874   0.335   18.57
     32  0.66  2.0e-04    7.9e+01      98.7    8.5e+01      98.4   0.949   0.884   0.339   18.43
     33  0.68  1.9e-04    7.9e+01      98.7    8.6e+01      98.3   0.951   0.889   0.366   18.45
     34  0.70  1.8e-04    7.8e+01      98.8    8.7e+01      98.4   0.952   0.891   0.354   18.51
     35  0.72  1.7e-04    8.0e+01      98.7    8.8e+01      98.4   0.953   0.892   0.382   18.39
     36  0.74  1.7e-04    8.1e+01      98.7    8.8e+01      98.3   0.954   0.897   0.375   18.31
     37  0.76  1.6e-04    8.1e+01      98.8    8.8e+01      98.4   0.956   0.902   0.384   18.77
     38  0.78  1.5e-04    8.3e+01      98.7    8.8e+01      98.4   0.957   0.905   0.395   17.91
     39  0.80  1.4e-04    8.3e+01      98.7    8.9e+01      98.4   0.958   0.906   0.408   18.76
     40  0.82  1.4e-04    8.4e+01      98.6    9.0e+01      98.3   0.958   0.906   0.409   18.52
     41  0.84  1.3e-04    8.5e+01      98.7    9.1e+01      98.4   0.959   0.910   0.420   18.74
     42  0.86  1.2e-04    8.5e+01      98.7    9.2e+01      98.4   0.959   0.911   0.425   19.18
     43  0.88  1.2e-04    8.7e+01      98.6    9.2e+01      98.3   0.960   0.912   0.430   19.57
     44  0.90  1.1e-04    8.6e+01      98.7    9.3e+01      98.4   0.960   0.912   0.436   18.62
     45  0.92  1.0e-04    8.7e+01      98.7    9.3e+01      98.4   0.961   0.915   0.438   18.73
     46  0.94  9.9e-05    8.8e+01      98.7    9.4e+01      98.3   0.962   0.917   0.440   19.00
     47  0.96  9.4e-05    8.9e+01      98.7    9.4e+01      98.4   0.962   0.918   0.451   18.73
     48  0.98  9.0e-05    9.1e+01      98.5    9.5e+01      98.4   0.962   0.918   0.452   18.70
     49     1  8.5e-05    9.0e+01      98.6    9.6e+01      98.3   0.963   0.920   0.456   18.53
     50     1  8.1e-05    9.0e+01      98.6    9.5e+01      98.3   0.963   0.919   0.455   18.42
     51     1  7.7e-05    9.0e+01      98.7    9.5e+01      98.3   0.964   0.921   0.457   18.62
     52     1  7.3e-05    9.0e+01      98.6    9.4e+01      98.3   0.964   0.920   0.461   18.46
     53     1  6.9e-05    8.9e+01      98.6    9.4e+01      98.3   0.964   0.921   0.471   17.37
     54     1  6.6e-05    8.8e+01      98.6    9.4e+01      98.3   0.964   0.922   0.465   16.15
     55     1  6.3e-05    8.8e+01      98.6    9.3e+01      98.4   0.964   0.922   0.474   16.45
     56     1  6.0e-05    8.8e+01      98.6    9.3e+01      98.4   0.964   0.922   0.469   15.67
     57     1  5.7e-05    8.8e+01      98.6    9.2e+01      98.3   0.965   0.923   0.474   15.84
     58     1  5.4e-05    8.7e+01      98.5    9.2e+01      98.3   0.965   0.923   0.475   15.57
     59     1  5.1e-05    8.7e+01      98.6    9.2e+01      98.3   0.965   0.923   0.472   15.72
     60     1  4.8e-05    8.8e+01      98.4    9.2e+01      98.3   0.965   0.924   0.477   17.03
     61     1  4.6e-05    8.7e+01      98.5    9.1e+01      98.4   0.965   0.924   0.478   15.93
     62     1  4.4e-05    8.6e+01      98.6    9.1e+01      98.3   0.965   0.925   0.479   15.91
     63     1  4.2e-05    8.7e+01      98.6    9.1e+01      98.3   0.965   0.925   0.477   17.06
     64     1  3.9e-05    8.6e+01      98.5    9.1e+01      98.4   0.965   0.925   0.482   15.80
     65     1  3.8e-05    8.5e+01      98.6    9.1e+01      98.4   0.966   0.925   0.481   15.92
     66     1  3.6e-05    8.6e+01      98.6    9.1e+01      98.3   0.966   0.925   0.483   15.84
     67     1  3.4e-05    8.5e+01      98.6    9.0e+01      98.3   0.966   0.926   0.481   15.67
     68     1  3.2e-05    8.6e+01      98.5    9.0e+01      98.4   0.966   0.926   0.483   16.15
     69     1  3.1e-05    8.5e+01      98.6    9.0e+01      98.3   0.966   0.926   0.486   16.27
     70     1  2.9e-05    8.5e+01      98.6    9.0e+01      98.3   0.966   0.926   0.485   16.01
     71     1  2.8e-05    8.4e+01      98.6    9.0e+01      98.3   0.966   0.926   0.486   16.67
     72     1  2.6e-05    8.4e+01      98.6    8.9e+01      98.4   0.966   0.926   0.485   16.60
     73     1  2.5e-05    8.4e+01      98.6    8.9e+01      98.3   0.966   0.926   0.484   16.09
     74     1  2.4e-05    8.4e+01      98.6    8.9e+01      98.4   0.966   0.926   0.487   16.19
     75     1  2.2e-05    8.4e+01      98.6    8.9e+01      98.4   0.966   0.926   0.488   16.18
     76     1  2.1e-05    8.4e+01      98.6    8.9e+01      98.3   0.966   0.926   0.489   16.83
     77     1  2.0e-05    8.5e+01      98.6    8.9e+01      98.3   0.966   0.926   0.491   16.41
     78     1  1.9e-05    8.4e+01      98.6    8.9e+01      98.4   0.966   0.926   0.489   18.73
     79     1  1.8e-05    8.5e+01      98.5    8.9e+01      98.3   0.966   0.926   0.488   19.57
     80     1  1.7e-05    8.5e+01      98.5    8.9e+01      98.3   0.966   0.927   0.489   18.30
     81     1  1.7e-05    8.4e+01      98.6    8.9e+01      98.3   0.966   0.927   0.491   17.20
     82     1  1.6e-05    8.3e+01      98.7    8.9e+01      98.4   0.966   0.926   0.488   16.22
     83     1  1.5e-05    8.5e+01      98.5    8.9e+01      98.3   0.966   0.927   0.491   16.59
     84     1  1.4e-05    8.4e+01      98.5    8.9e+01      98.3   0.966   0.927   0.492   15.73
     85     1  1.3e-05    8.3e+01      98.6    8.9e+01      98.3   0.966   0.927   0.491   15.77
     86     1  1.3e-05    8.4e+01      98.6    8.8e+01      98.4   0.966   0.927   0.491   15.49
     87     1  1.2e-05    8.3e+01      98.7    8.8e+01      98.4   0.966   0.927   0.493   15.42
     88     1  1.2e-05    8.5e+01      98.5    8.8e+01      98.3   0.966   0.927   0.494   15.57
     89     1  1.1e-05    8.4e+01      98.6    8.8e+01      98.3   0.966   0.927   0.492   15.43
     90     1  1.0e-05    8.4e+01      98.6    8.8e+01      98.3   0.966   0.927   0.494   15.30
     91     1  9.9e-06    8.3e+01      98.6    8.8e+01      98.4   0.966   0.927   0.495   15.99
     92     1  9.4e-06    8.3e+01      98.6    8.8e+01      98.3   0.966   0.927   0.493   15.75
     93     1  8.9e-06    8.4e+01      98.5    8.8e+01      98.4   0.966   0.927   0.494   15.45
     94     1  8.5e-06    8.4e+01      98.5    8.8e+01      98.4   0.966   0.927   0.494   15.54
     95     1  8.1e-06    8.3e+01      98.6    8.8e+01      98.4   0.966   0.927   0.495   15.67
     96     1  7.7e-06    8.4e+01      98.6    8.8e+01      98.4   0.966   0.927   0.496   17.06
     97     1  7.3e-06    8.3e+01      98.6    8.8e+01      98.3   0.966   0.927   0.495   22.64
     98     1  6.9e-06    8.3e+01      98.6    8.8e+01      98.3   0.966   0.927   0.494   18.79
     99     1  6.6e-06    8.2e+01      98.7    8.8e+01      98.4   0.966   0.927   0.493   16.88
    100     1  6.2e-06    8.3e+01      98.6    8.8e+01      98.3   0.966   0.927   0.493   16.31
