  epoch    kl       lr    tr_loss    tr_acc    te_loss    te_acc    sp_0    sp_1    sp_2    time
-------  ----  -------  ---------  --------  ---------  --------  ------  ------  ------  ------
      1  0.03  5.0e-04   1.38e+02      84.9   7.37e+01      92.1   0.224   0.064   0.037   13.00
      2  0.06  4.7e-04   8.07e+01      93.1   6.70e+01      94.5   0.450   0.091   0.042   12.60
      3  0.09  4.5e-04   7.19e+01      94.9   6.22e+01      95.7   0.589   0.138   0.029   12.57
      4  0.12  4.3e-04   6.62e+01      95.9   6.04e+01      96.1   0.684   0.222   0.033   12.45
      5  0.15  4.1e-04   6.22e+01      96.4   5.89e+01      96.5   0.744   0.307   0.042   12.45
      6  0.18  3.9e-04   5.91e+01      96.8   5.61e+01      96.9   0.787   0.389   0.048   12.46
      7  0.21  3.7e-04   5.66e+01      97.1   5.40e+01      97.0   0.818   0.460   0.049   12.46
      8  0.24  3.5e-04   5.45e+01      97.3   5.28e+01      97.2   0.843   0.521   0.056   12.47
      9  0.27  3.3e-04   5.26e+01      97.4   5.19e+01      97.3   0.869   0.581   0.062   12.47
     10  0.30  3.2e-04   5.08e+01      97.6   5.10e+01      97.3   0.884   0.619   0.067   12.47
     11  0.33  3.0e-04   4.95e+01      97.6   4.97e+01      97.4   0.902   0.661   0.088   12.43
     12  0.36  2.8e-04   4.82e+01      97.7   4.89e+01      97.5   0.913   0.696   0.092   12.46
     13  0.39  2.7e-04   4.72e+01      97.8   4.76e+01      97.6   0.918   0.722   0.109   12.46
     14  0.42  2.6e-04   4.67e+01      97.8   4.73e+01      97.6   0.926   0.748   0.116   12.43
     15  0.45  2.4e-04   4.59e+01      97.8   4.64e+01      97.6   0.932   0.771   0.127   12.45
     16  0.48  2.3e-04   4.53e+01      97.9   4.60e+01      97.7   0.937   0.786   0.137   12.45
     17  0.51  2.2e-04   4.51e+01      97.9   4.65e+01      97.5   0.943   0.804   0.152   12.45
     18  0.54  2.1e-04   4.49e+01      97.9   4.58e+01      97.6   0.946   0.817   0.164   12.43
     19  0.57  2.0e-04   4.47e+01      97.8   4.58e+01      97.7   0.949   0.828   0.180   12.47
