  epoch    kl       lr    tr_loss    tr_acc    te_loss    te_acc    sp_0    sp_1    sp_2    time
-------  ----  -------  ---------  --------  ---------  --------  ------  ------  ------  ------
      1  0.04  1.0e-03    3.2e+02      90.9    2.1e+02      94.7   0.239   0.084   0.035   15.20
      2  0.06  9.5e-04    2.1e+02      96.1    1.7e+02      96.9   0.449   0.122   0.036   15.43
      3  0.08  9.0e-04    1.9e+02      97.1    1.8e+02      97.0   0.574   0.172   0.054   17.23
      4  0.10  8.6e-04    1.9e+02      97.5    1.8e+02      97.4   0.669   0.274   0.066   15.82
      5  0.12  8.1e-04    1.9e+02      97.7    2.0e+02      97.1   0.720   0.391   0.059   15.61
      6  0.14  7.7e-04    2.0e+02      97.8    2.1e+02      97.5   0.755   0.497   0.067   15.51
      7  0.16  7.4e-04    2.1e+02      97.8    2.2e+02      97.3   0.770   0.562   0.071   16.48
      8  0.18  7.0e-04    2.3e+02      97.9    2.3e+02      97.9   0.796   0.607   0.076   15.96
      9  0.20  6.6e-04    2.4e+02      97.9    2.5e+02      97.8   0.806   0.633   0.078   16.21
     10  0.22  6.3e-04    2.5e+02      97.9    2.6e+02      97.9   0.821   0.666   0.079   17.61
     11  0.24  6.0e-04    2.7e+02      97.9    2.7e+02      97.8   0.815   0.679   0.083   16.39
     12  0.26  5.7e-04    2.8e+02      97.9    2.9e+02      98.1   0.839   0.703   0.088   16.56
     13  0.28  5.4e-04    3.0e+02      97.9    3.0e+02      97.8   0.842   0.723   0.089   16.08
     14  0.30  5.1e-04    3.1e+02      97.8    3.2e+02      97.7   0.854   0.737   0.085   16.13
     15  0.32  4.9e-04    3.3e+02      97.8    3.3e+02      97.9   0.859   0.749   0.095   16.61
     16  0.34  4.6e-04    3.5e+02      97.7    3.5e+02      97.8   0.863   0.763   0.101   15.65
     17  0.36  4.4e-04    3.6e+02      97.7    3.6e+02      97.8   0.868   0.774   0.114   17.23
     18  0.38  4.2e-04    3.8e+02      97.6    3.7e+02      97.9   0.874   0.780   0.110   19.79
     19  0.40  4.0e-04    3.9e+02      97.6    3.9e+02      97.8   0.878   0.798   0.123   19.05
     20  0.42  3.8e-04    4.1e+02      97.6    4.1e+02      97.5   0.883   0.801   0.128   19.73
     21  0.44  3.6e-04    4.2e+02      97.6    4.2e+02      97.7   0.888   0.810   0.133   20.74
     22  0.46  3.4e-04    4.4e+02      97.5    4.3e+02      97.8   0.888   0.816   0.146   19.65
     23  0.48  3.2e-04    4.5e+02      97.4    4.5e+02      97.8   0.893   0.821   0.157   19.39
     24  0.50  3.1e-04    4.7e+02      97.5    4.7e+02      97.7   0.897   0.829   0.157   17.87
     25  0.52  2.9e-04    4.8e+02      97.4    4.8e+02      97.8   0.899   0.837   0.173   16.59
     26  0.54  2.8e-04    5.0e+02      97.4    4.9e+02      97.9   0.900   0.840   0.172   19.23
     27  0.56  2.6e-04    5.1e+02      97.4    5.1e+02      97.6   0.903   0.842   0.182   20.30
     28  0.58  2.5e-04    5.3e+02      97.3    5.2e+02      97.5   0.905   0.846   0.187   19.24
     29  0.60  2.4e-04    5.4e+02      97.2    5.4e+02      97.7   0.907   0.852   0.197   19.67
     30  0.62  2.3e-04    5.6e+02      97.3    5.5e+02      97.6   0.907   0.856   0.207   20.00
     31  0.64  2.1e-04    5.7e+02      97.2    5.6e+02      97.7   0.909   0.861   0.208   21.04
     32  0.66  2.0e-04    5.9e+02      97.1    5.8e+02      97.7   0.911   0.863   0.222   20.74
     33  0.68  1.9e-04    6.0e+02      97.1    5.9e+02      97.7   0.913   0.868   0.229   17.45
     34  0.70  1.8e-04    6.2e+02      97.1    6.1e+02      97.5   0.914   0.871   0.231   20.86
     35  0.72  1.7e-04    6.3e+02      96.9    6.2e+02      97.7   0.915   0.873   0.234   19.94
     36  0.74  1.7e-04    6.5e+02      97.1    6.4e+02      97.7   0.916   0.875   0.242   19.58
     37  0.76  1.6e-04    6.6e+02      96.9    6.5e+02      97.7   0.917   0.875   0.239   21.57
     38  0.78  1.5e-04    6.8e+02      97.0    6.7e+02      97.7   0.918   0.877   0.249   20.30
     39  0.80  1.4e-04    6.9e+02      96.9    6.8e+02      97.5   0.919   0.879   0.251   19.52
     40  0.82  1.4e-04    7.1e+02      96.8    6.9e+02      97.7   0.919   0.881   0.248   18.91
     41  0.84  1.3e-04    7.2e+02      96.9    7.1e+02      97.6   0.920   0.883   0.255   18.42
     42  0.86  1.2e-04    7.4e+02      96.8    7.2e+02      97.7   0.921   0.886   0.258   18.75
     43  0.88  1.2e-04    7.5e+02      96.8    7.4e+02      97.6   0.922   0.887   0.264   20.61
     44  0.90  1.1e-04    7.7e+02      96.8    7.5e+02      97.5   0.923   0.886   0.267   18.78
     45  0.92  1.0e-04    7.8e+02      96.8    7.7e+02      97.6   0.923   0.889   0.273   17.18
     46  0.94  9.9e-05    8.0e+02      96.7    7.8e+02      97.5   0.924   0.891   0.276   16.76
     47  0.96  9.4e-05    8.1e+02      96.7    8.0e+02      97.6   0.924   0.892   0.280   16.82
     48  0.98  9.0e-05    8.3e+02      96.7    8.1e+02      97.7   0.925   0.892   0.286   16.07
     49     1  8.5e-05    8.4e+02      96.6    8.3e+02      97.6   0.926   0.894   0.290   15.93
     50     1  8.1e-05    8.4e+02      96.6    8.2e+02      97.6   0.926   0.896   0.298   16.26
     51     1  7.7e-05    8.4e+02      96.5    8.2e+02      97.6   0.926   0.896   0.297   16.04
     52     1  7.3e-05    8.4e+02      96.6    8.2e+02      97.6   0.927   0.898   0.303   18.32
     53     1  6.9e-05    8.4e+02      96.5    8.2e+02      97.6   0.927   0.898   0.308   18.54
     54     1  6.6e-05    8.4e+02      96.6    8.2e+02      97.6   0.927   0.899   0.314   20.27
     55     1  6.3e-05    8.4e+02      96.5    8.2e+02      97.7   0.928   0.898   0.314   18.96
     56     1  6.0e-05    8.4e+02      96.5    8.2e+02      97.6   0.928   0.898   0.316   18.71
     57     1  5.7e-05    8.4e+02      96.5    8.2e+02      97.5   0.928   0.898   0.316   18.74
     58     1  5.4e-05    8.4e+02      96.5    8.2e+02      97.6   0.928   0.899   0.317   18.58
     59     1  5.1e-05    8.4e+02      96.4    8.2e+02      97.6   0.928   0.899   0.318   19.02
     60     1  4.8e-05    8.4e+02      96.5    8.2e+02      97.5   0.928   0.900   0.323   19.16
     61     1  4.6e-05    8.4e+02      96.5    8.2e+02      97.5   0.928   0.901   0.323   19.19
     62     1  4.4e-05    8.4e+02      96.5    8.2e+02      97.6   0.929   0.901   0.322   19.31
     63     1  4.2e-05    8.4e+02      96.5    8.2e+02      97.6   0.929   0.901   0.327   19.73
     64     1  3.9e-05    8.4e+02      96.4    8.2e+02      97.6   0.929   0.901   0.329   18.86
     65     1  3.8e-05    8.4e+02      96.5    8.2e+02      97.5   0.929   0.902   0.328   18.92
     66     1  3.6e-05    8.4e+02      96.5    8.2e+02      97.6   0.929   0.903   0.328   19.17
     67     1  3.4e-05    8.4e+02      96.5    8.2e+02      97.5   0.929   0.902   0.329   18.70
     68     1  3.2e-05    8.4e+02      96.5    8.2e+02      97.5   0.929   0.903   0.328   18.93
     69     1  3.1e-05    8.4e+02      96.5    8.2e+02      97.6   0.929   0.904   0.328   18.82
     70     1  2.9e-05    8.4e+02      96.5    8.2e+02      97.6   0.929   0.903   0.328   18.53
     71     1  2.8e-05    8.3e+02      96.5    8.2e+02      97.6   0.929   0.903   0.332   18.51
     72     1  2.6e-05    8.3e+02      96.4    8.2e+02      97.5   0.929   0.904   0.334   18.91
     73     1  2.5e-05    8.4e+02      96.5    8.2e+02      97.5   0.930   0.904   0.334   18.89
     74     1  2.4e-05    8.3e+02      96.4    8.2e+02      97.5   0.930   0.904   0.335   19.18
     75     1  2.2e-05    8.3e+02      96.4    8.2e+02      97.5   0.930   0.904   0.332   19.23
     76     1  2.1e-05    8.3e+02      96.6    8.2e+02      97.6   0.930   0.905   0.334   18.97
     77     1  2.0e-05    8.3e+02      96.4    8.2e+02      97.5   0.930   0.905   0.334   19.00
     78     1  1.9e-05    8.3e+02      96.5    8.2e+02      97.6   0.930   0.905   0.336   19.11
     79     1  1.8e-05    8.4e+02      96.4    8.2e+02      97.5   0.930   0.905   0.338   20.45
     80     1  1.7e-05    8.4e+02      96.3    8.2e+02      97.5   0.930   0.905   0.340   19.16
     81     1  1.7e-05    8.4e+02      96.4    8.2e+02      97.5   0.930   0.905   0.341   18.65
     82     1  1.6e-05    8.3e+02      96.5    8.2e+02      97.6   0.930   0.905   0.343   16.81
     83     1  1.5e-05    8.3e+02      96.4    8.2e+02      97.6   0.930   0.906   0.344   17.02
     84     1  1.4e-05    8.3e+02      96.5    8.2e+02      97.6   0.930   0.906   0.345   17.87
     85     1  1.3e-05    8.3e+02      96.5    8.2e+02      97.6   0.930   0.906   0.345   16.91
     86     1  1.3e-05    8.4e+02      96.4    8.2e+02      97.6   0.930   0.906   0.345   19.55
     87     1  1.2e-05    8.3e+02      96.5    8.2e+02      97.5   0.930   0.906   0.344   20.18
     88     1  1.2e-05    8.4e+02      96.3    8.2e+02      97.5   0.930   0.906   0.346   17.92
     89     1  1.1e-05    8.4e+02      96.4    8.2e+02      97.5   0.930   0.906   0.348   18.82
     90     1  1.0e-05    8.3e+02      96.4    8.2e+02      97.5   0.930   0.906   0.349   18.62
     91     1  9.9e-06    8.3e+02      96.4    8.2e+02      97.6   0.930   0.907   0.348   18.78
     92     1  9.4e-06    8.3e+02      96.4    8.2e+02      97.6   0.930   0.907   0.348   19.09
     93     1  8.9e-06    8.4e+02      96.4    8.1e+02      97.6   0.930   0.907   0.348   16.74
     94     1  8.5e-06    8.3e+02      96.4    8.1e+02      97.6   0.930   0.907   0.348   19.22
     95     1  8.1e-06    8.3e+02      96.6    8.1e+02      97.5   0.930   0.907   0.348   17.09
     96     1  7.7e-06    8.3e+02      96.5    8.1e+02      97.5   0.930   0.907   0.348   16.27
     97     1  7.3e-06    8.3e+02      96.4    8.1e+02      97.5   0.930   0.907   0.348   18.34
     98     1  6.9e-06    8.3e+02      96.4    8.1e+02      97.5   0.930   0.907   0.349   19.15
     99     1  6.6e-06    8.3e+02      96.4    8.1e+02      97.5   0.930   0.907   0.348   18.58
    100     1  6.2e-06    8.3e+02      96.5    8.1e+02      97.5   0.930   0.907   0.349   18.74
