  epoch    kl       lr    tr_loss    tr_acc    te_loss    te_acc    sp_0    sp_1    sp_2    time
-------  ----  -------  ---------  --------  ---------  --------  ------  ------  ------  ------
      1  0.03  5.0e-04    1.6e+02      84.3    9.2e+01      92.3   0.073   0.050   0.027   13.05
      2  0.06  4.7e-04    1.1e+02      93.1    1.0e+02      94.6   0.134   0.049   0.016   12.91
      3  0.09  4.5e-04    1.1e+02      94.8    9.8e+01      95.6   0.315   0.052   0.016   12.98
      4  0.12  4.3e-04    1.1e+02      95.4    1.0e+02      95.7   0.456   0.058   0.011   12.81
      5  0.15  4.1e-04    1.1e+02      95.9    1.1e+02      96.4   0.568   0.064   0.012   12.92
      6  0.18  3.9e-04    1.2e+02      96.2    1.1e+02      96.3   0.661   0.075   0.013   12.89
      7  0.21  3.7e-04    1.2e+02      96.3    1.2e+02      96.1   0.724   0.093   0.016   12.98
      8  0.24  3.5e-04    1.3e+02      96.5    1.3e+02      96.5   0.760   0.123   0.017   13.02
      9  0.27  3.3e-04    1.3e+02      96.6    1.4e+02      96.1   0.803   0.173   0.015   12.98
     10  0.30  3.2e-04    1.4e+02      96.6    1.4e+02      96.4   0.831   0.239   0.011   12.91
     11  0.33  3.0e-04    1.5e+02      96.6    1.5e+02      96.5   0.847   0.314   0.012   13.42
     12  0.36  2.8e-04    1.5e+02      96.6    1.5e+02      96.2   0.863   0.392   0.014   12.71
     13  0.39  2.7e-04    1.6e+02      96.5    1.6e+02      96.1   0.877   0.466   0.016   12.98
     14  0.42  2.6e-04    1.6e+02      96.5    1.7e+02      96.2   0.884   0.526   0.017   13.06
     15  0.45  2.4e-04    1.7e+02      96.5    1.7e+02      96.5   0.890   0.578   0.017   13.47
     16  0.48  2.3e-04    1.8e+02      96.4    1.8e+02      96.4   0.898   0.621   0.018   13.03
     17  0.51  2.2e-04    1.8e+02      96.5    1.9e+02      96.2   0.903   0.658   0.014   12.68
     18  0.54  2.1e-04    1.9e+02      96.4    1.9e+02      96.4   0.908   0.686   0.016   12.68
     19  0.57  2.0e-04    1.9e+02      96.4    2.0e+02      96.1   0.911   0.708   0.017   12.77
     20  0.60  1.9e-04    2.0e+02      96.3    2.0e+02      96.6   0.914   0.730   0.018   12.90
     21  0.63  1.8e-04    2.1e+02      96.3    2.1e+02      96.4   0.918   0.747   0.017   12.85
     22  0.66  1.7e-04    2.2e+02      96.3    2.2e+02      96.4   0.920   0.761   0.017   12.91
     23  0.69  1.6e-04    2.2e+02      96.2    2.2e+02      96.4   0.922   0.775   0.017   12.67
     24  0.72  1.5e-04    2.3e+02      96.2    2.3e+02      96.5   0.924   0.786   0.019   12.94
     25  0.75  1.5e-04    2.4e+02      96.1    2.4e+02      96.5   0.926   0.797   0.021   12.68
     26  0.78  1.4e-04    2.4e+02      96.1    2.5e+02      96.5   0.928   0.804   0.021   12.77
     27  0.81  1.3e-04    2.5e+02      96.1    2.5e+02      96.6   0.929   0.813   0.022   12.69
     28  0.84  1.3e-04    2.6e+02      96.0    2.6e+02      96.5   0.931   0.820   0.021   12.89
     29  0.87  1.2e-04    2.6e+02      95.9    2.7e+02      96.5   0.933   0.826   0.020   12.77
     30  0.90  1.1e-04    2.7e+02      95.8    2.7e+02      96.6   0.933   0.832   0.021   12.71
     31  0.93  1.1e-04    2.8e+02      95.9    2.8e+02      96.5   0.935   0.838   0.021   12.62
     32  0.96  1.0e-04    2.9e+02      95.9    2.9e+02      96.6   0.936   0.843   0.020   12.51
     33  0.99  9.7e-05    2.9e+02      95.9    3.0e+02      96.5   0.937   0.847   0.022   12.69
     34     1  9.2e-05    3.0e+02      95.9    3.0e+02      96.5   0.938   0.851   0.023   12.59
     35     1  8.7e-05    3.0e+02      95.9    3.0e+02      96.7   0.939   0.854   0.024   12.63
     36     1  8.3e-05    3.0e+02      95.7    3.0e+02      96.6   0.940   0.858   0.022   12.52
     37     1  7.9e-05    2.9e+02      95.8    3.0e+02      96.6   0.940   0.860   0.022   12.53
     38     1  7.5e-05    2.9e+02      95.8    2.9e+02      96.7   0.941   0.862   0.024   12.65
     39     1  7.1e-05    2.9e+02      95.7    2.9e+02      96.6   0.941   0.865   0.025   12.57
     40     1  6.8e-05    2.9e+02      95.8    2.9e+02      96.7   0.941   0.867   0.026   12.64
     41     1  6.4e-05    2.9e+02      95.7    2.9e+02      96.6   0.942   0.869   0.027   12.56
     42     1  6.1e-05    2.9e+02      95.8    2.9e+02      96.6   0.942   0.871   0.029   12.60
     43     1  5.8e-05    2.9e+02      95.7    2.9e+02      96.7   0.942   0.872   0.028   12.58
     44     1  5.5e-05    2.9e+02      95.7    2.9e+02      96.6   0.943   0.874   0.028   12.61
     45     1  5.2e-05    2.9e+02      95.8    2.9e+02      96.7   0.943   0.876   0.028   12.59
     46     1  5.0e-05    2.9e+02      95.8    2.9e+02      96.7   0.943   0.877   0.028   12.58
     47     1  4.7e-05    2.9e+02      95.7    2.9e+02      96.7   0.943   0.878   0.029   12.62
     48     1  4.5e-05    2.9e+02      95.7    2.9e+02      96.7   0.943   0.879   0.028   12.66
     49     1  4.3e-05    2.9e+02      95.7    2.9e+02      96.7   0.944   0.880   0.031   12.56
     50     1  4.0e-05    2.9e+02      95.7    2.9e+02      96.7   0.944   0.881   0.030   12.58
     51     1  3.8e-05    2.9e+02      95.8    2.9e+02      96.7   0.944   0.882   0.030   12.53
     52     1  3.7e-05    2.9e+02      95.6    2.9e+02      96.7   0.944   0.883   0.029   12.65
     53     1  3.5e-05    2.9e+02      95.7    2.9e+02      96.7   0.944   0.883   0.031   12.60
     54     1  3.3e-05    2.9e+02      95.7    2.9e+02      96.7   0.944   0.884   0.031   12.61
     55     1  3.1e-05    2.9e+02      95.8    2.9e+02      96.8   0.945   0.884   0.032   12.56
     56     1  3.0e-05    2.9e+02      95.8    2.9e+02      96.8   0.945   0.885   0.031   12.63
     57     1  2.8e-05    2.9e+02      95.8    2.9e+02      96.8   0.945   0.886   0.031   12.64
     58     1  2.7e-05    2.9e+02      95.8    2.9e+02      96.8   0.945   0.886   0.030   12.55
     59     1  2.6e-05    2.9e+02      95.7    2.9e+02      96.8   0.945   0.887   0.030   12.60
     60     1  2.4e-05    2.9e+02      95.9    2.9e+02      96.7   0.945   0.887   0.030   12.55
     61     1  2.3e-05    2.9e+02      95.7    2.9e+02      96.8   0.945   0.888   0.031   12.66
     62     1  2.2e-05    2.9e+02      95.7    2.9e+02      96.7   0.945   0.888   0.029   12.57
     63     1  2.1e-05    2.9e+02      95.7    2.9e+02      96.8   0.946   0.889   0.029   12.60
     64     1  2.0e-05    2.9e+02      95.8    2.9e+02      96.8   0.946   0.889   0.030   12.66
     65     1  1.9e-05    2.9e+02      95.8    2.9e+02      96.7   0.946   0.890   0.030   12.74
     66     1  1.8e-05    2.9e+02      95.9    2.9e+02      96.8   0.946   0.890   0.030   12.76
     67     1  1.7e-05    2.9e+02      95.8    2.9e+02      96.7   0.946   0.890   0.030   12.66
     68     1  1.6e-05    2.9e+02      95.8    2.9e+02      96.8   0.946   0.890   0.030   12.92
     69     1  1.5e-05    2.9e+02      95.8    2.9e+02      96.8   0.946   0.890   0.032   12.71
     70     1  1.5e-05    2.9e+02      95.8    2.9e+02      96.8   0.946   0.891   0.032   12.60
